benchmark,result,certificate running time,total running time
a7.ser,serializable,4,33
a3.ser,serializable,1,32
a1.ser,serializable,2,47
a2.ser,not_serializable,280,296
a6.ser,not_serializable,757,775
c6.ser,not_serializable,629,698
b1.json,serializable,683,968
a4.ser,serializable,637,1071
c7.ser,not_serializable,797,875
d2.ser,not_serializable,628,731
d5.ser,not_serializable,495,554
b4.json,serializable,660,1909
e1.ser,serializable,351,502
b3.json,serializable,730,2080
e5.ser,serializable,2,55
e6.ser,serializable,10,114
c3.ser,serializable,1886,2397
e7.ser,serializable,299,444
f1.ser,serializable,388,494
f2.ser,not_serializable,612,676
f3.ser,not_serializable,653,716
f6.ser,not_serializable,646,830
f7.ser,not_serializable,400,427
d1.ser,serializable,2391,5373
f9.ser,serializable,10,94
f8.ser,not_serializable,773,802
c4.ser,serializable,4336,7193
b2.json,serializable,2063,7802
c8.ser,serializable,4357,8931
d3.ser,serializable,2642,10266
f4.ser,serializable,1626,9515
a5.ser,serializable,3234,13624
f5.ser,serializable,7401,11301
g4.ser,not_serializable,6859,7047
g6.ser,not_serializable,8193,8285
g5.ser,serializable,3047,12324
d4.ser,serializable,5604,22249
e3.ser,not_serializable,24899,25039
g3.ser,not_serializable,20557,20954
c5.ser,not_serializable,43694,43735
g1.ser,not_serializable,59312,74539
g7.ser,serializable,6886,252752
e4.ser,not_serializable,273062,273351
c2.ser,serializable,9858,292228
c1.ser,not_serializable,356195,356299
e2.ser,timeout,500463,500542
g2.ser,timeout,502810,503336
